file_id,original_path,wav_path,status,opensmile_F0semitoneFrom27.5Hz_sma3nz_amean,opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,opensmile_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,opensmile_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,opensmile_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,opensmile_loudness_sma3_amean,opensmile_loudness_sma3_stddevNorm,opensmile_loudness_sma3_percentile20.0,opensmile_loudness_sma3_percentile50.0,opensmile_loudness_sma3_percentile80.0,opensmile_loudness_sma3_pctlrange0-2,opensmile_loudness_sma3_meanRisingSlope,opensmile_loudness_sma3_stddevRisingSlope,opensmile_loudness_sma3_meanFallingSlope,opensmile_loudness_sma3_stddevFallingSlope,opensmile_spectralFlux_sma3_amean,opensmile_spectralFlux_sma3_stddevNorm,opensmile_mfcc1_sma3_amean,opensmile_mfcc1_sma3_stddevNorm,opensmile_mfcc2_sma3_amean,opensmile_mfcc2_sma3_stddevNorm,opensmile_mfcc3_sma3_amean,opensmile_mfcc3_sma3_stddevNorm,opensmile_mfcc4_sma3_amean,opensmile_mfcc4_sma3_stddevNorm,opensmile_jitterLocal_sma3nz_amean,opensmile_jitterLocal_sma3nz_stddevNorm,opensmile_shimmerLocaldB_sma3nz_amean,opensmile_shimmerLocaldB_sma3nz_stddevNorm,opensmile_HNRdBACF_sma3nz_amean,opensmile_HNRdBACF_sma3nz_stddevNorm,opensmile_logRelF0-H1-H2_sma3nz_amean,opensmile_logRelF0-H1-H2_sma3nz_stddevNorm,opensmile_logRelF0-H1-A3_sma3nz_amean,opensmile_logRelF0-H1-A3_sma3nz_stddevNorm,opensmile_F1frequency_sma3nz_amean,opensmile_F1frequency_sma3nz_stddevNorm,opensmile_F1bandwidth_sma3nz_amean,opensmile_F1bandwidth_sma3nz_stddevNorm,opensmile_F1amplitudeLogRelF0_sma3nz_amean,opensmile_F1amplitudeLogRelF0_sma3nz_stddevNorm,opensmile_F2frequency_sma3nz_amean,opensmile_F2frequency_sma3nz_stddevNorm,opensmile_F2bandwidth_sma3nz_amean,opensmile_F2bandwidth_sma3nz_stddevNorm,opensmile_F2amplitudeLogRelF0_sma3nz_amean,opensmile_F2amplitudeLogRelF0_sma3nz_stddevNorm,opensmile_F3frequency_sma3nz_amean,opensmile_F3frequency_sma3nz_stddevNorm,opensmile_F3bandwidth_sma3nz_amean,opensmile_F3bandwidth_sma3nz_stddevNorm,opensmile_F3amplitudeLogRelF0_sma3nz_amean,opensmile_F3amplitudeLogRelF0_sma3nz_stddevNorm,opensmile_alphaRatioV_sma3nz_amean,opensmile_alphaRatioV_sma3nz_stddevNorm,opensmile_hammarbergIndexV_sma3nz_amean,opensmile_hammarbergIndexV_sma3nz_stddevNorm,opensmile_slopeV0-500_sma3nz_amean,opensmile_slopeV0-500_sma3nz_stddevNorm,opensmile_slopeV500-1500_sma3nz_amean,opensmile_slopeV500-1500_sma3nz_stddevNorm,opensmile_spectralFluxV_sma3nz_amean,opensmile_spectralFluxV_sma3nz_stddevNorm,opensmile_mfcc1V_sma3nz_amean,opensmile_mfcc1V_sma3nz_stddevNorm,opensmile_mfcc2V_sma3nz_amean,opensmile_mfcc2V_sma3nz_stddevNorm,opensmile_mfcc3V_sma3nz_amean,opensmile_mfcc3V_sma3nz_stddevNorm,opensmile_mfcc4V_sma3nz_amean,opensmile_mfcc4V_sma3nz_stddevNorm,opensmile_alphaRatioUV_sma3nz_amean,opensmile_hammarbergIndexUV_sma3nz_amean,opensmile_slopeUV0-500_sma3nz_amean,opensmile_slopeUV500-1500_sma3nz_amean,opensmile_spectralFluxUV_sma3nz_amean,opensmile_loudnessPeaksPerSec,opensmile_VoicedSegmentsPerSec,opensmile_MeanVoicedSegmentLengthSec,opensmile_StddevVoicedSegmentLengthSec,opensmile_MeanUnvoicedSegmentLength,opensmile_StddevUnvoicedSegmentLength,opensmile_equivalentSoundLevel_dBp
文件编号 / file_id,原始音频路径 / original_path,标准化WAV路径 / wav_path,处理状态 / status,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_amean,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,基频F0或音高相关指标 / opensmile_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,响度相关指标 / opensmile_loudness_sma3_amean,响度相关指标 / opensmile_loudness_sma3_stddevNorm,响度相关指标 / opensmile_loudness_sma3_percentile20.0,响度相关指标 / opensmile_loudness_sma3_percentile50.0,响度相关指标 / opensmile_loudness_sma3_percentile80.0,响度相关指标 / opensmile_loudness_sma3_pctlrange0-2,响度相关指标 / opensmile_loudness_sma3_meanRisingSlope,响度相关指标 / opensmile_loudness_sma3_stddevRisingSlope,响度相关指标 / opensmile_loudness_sma3_meanFallingSlope,响度相关指标 / opensmile_loudness_sma3_stddevFallingSlope,频谱通量相关指标 / opensmile_spectralFlux_sma3_amean,频谱通量相关指标 / opensmile_spectralFlux_sma3_stddevNorm,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc1_sma3_amean,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc1_sma3_stddevNorm,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc2_sma3_amean,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc2_sma3_stddevNorm,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc3_sma3_amean,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc3_sma3_stddevNorm,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc4_sma3_amean,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc4_sma3_stddevNorm,频率微扰Jitter相关指标 / opensmile_jitterLocal_sma3nz_amean,频率微扰Jitter相关指标 / opensmile_jitterLocal_sma3nz_stddevNorm,振幅微扰Shimmer相关指标 / opensmile_shimmerLocaldB_sma3nz_amean,振幅微扰Shimmer相关指标 / opensmile_shimmerLocaldB_sma3nz_stddevNorm,谐波噪声比或谐波性相关指标 / opensmile_HNRdBACF_sma3nz_amean,谐波噪声比或谐波性相关指标 / opensmile_HNRdBACF_sma3nz_stddevNorm,基频F0或音高相关指标 / opensmile_logRelF0-H1-H2_sma3nz_amean,基频F0或音高相关指标 / opensmile_logRelF0-H1-H2_sma3nz_stddevNorm,基频F0或音高相关指标 / opensmile_logRelF0-H1-A3_sma3nz_amean,基频F0或音高相关指标 / opensmile_logRelF0-H1-A3_sma3nz_stddevNorm,opensmile_F1frequency_sma3nz_amean / opensmile_F1frequency_sma3nz_amean,opensmile_F1frequency_sma3nz_stddevNorm / opensmile_F1frequency_sma3nz_stddevNorm,opensmile_F1bandwidth_sma3nz_amean / opensmile_F1bandwidth_sma3nz_amean,opensmile_F1bandwidth_sma3nz_stddevNorm / opensmile_F1bandwidth_sma3nz_stddevNorm,基频F0或音高相关指标 / opensmile_F1amplitudeLogRelF0_sma3nz_amean,基频F0或音高相关指标 / opensmile_F1amplitudeLogRelF0_sma3nz_stddevNorm,opensmile_F2frequency_sma3nz_amean / opensmile_F2frequency_sma3nz_amean,opensmile_F2frequency_sma3nz_stddevNorm / opensmile_F2frequency_sma3nz_stddevNorm,opensmile_F2bandwidth_sma3nz_amean / opensmile_F2bandwidth_sma3nz_amean,opensmile_F2bandwidth_sma3nz_stddevNorm / opensmile_F2bandwidth_sma3nz_stddevNorm,基频F0或音高相关指标 / opensmile_F2amplitudeLogRelF0_sma3nz_amean,基频F0或音高相关指标 / opensmile_F2amplitudeLogRelF0_sma3nz_stddevNorm,opensmile_F3frequency_sma3nz_amean / opensmile_F3frequency_sma3nz_amean,opensmile_F3frequency_sma3nz_stddevNorm / opensmile_F3frequency_sma3nz_stddevNorm,opensmile_F3bandwidth_sma3nz_amean / opensmile_F3bandwidth_sma3nz_amean,opensmile_F3bandwidth_sma3nz_stddevNorm / opensmile_F3bandwidth_sma3nz_stddevNorm,基频F0或音高相关指标 / opensmile_F3amplitudeLogRelF0_sma3nz_amean,基频F0或音高相关指标 / opensmile_F3amplitudeLogRelF0_sma3nz_stddevNorm,频谱Alpha比率相关指标 / opensmile_alphaRatioV_sma3nz_amean,频谱Alpha比率相关指标 / opensmile_alphaRatioV_sma3nz_stddevNorm,Hammarberg频谱指数相关指标 / opensmile_hammarbergIndexV_sma3nz_amean,Hammarberg频谱指数相关指标 / opensmile_hammarbergIndexV_sma3nz_stddevNorm,频谱斜率相关指标 / opensmile_slopeV0-500_sma3nz_amean,频谱斜率相关指标 / opensmile_slopeV0-500_sma3nz_stddevNorm,频谱斜率相关指标 / opensmile_slopeV500-1500_sma3nz_amean,频谱斜率相关指标 / opensmile_slopeV500-1500_sma3nz_stddevNorm,频谱通量相关指标 / opensmile_spectralFluxV_sma3nz_amean,频谱通量相关指标 / opensmile_spectralFluxV_sma3nz_stddevNorm,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc1V_sma3nz_amean,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc1V_sma3nz_stddevNorm,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc2V_sma3nz_amean,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc2V_sma3nz_stddevNorm,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc3V_sma3nz_amean,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc3V_sma3nz_stddevNorm,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc4V_sma3nz_amean,梅尔频率倒谱系数MFCC相关指标 / opensmile_mfcc4V_sma3nz_stddevNorm,频谱Alpha比率相关指标 / opensmile_alphaRatioUV_sma3nz_amean,Hammarberg频谱指数相关指标 / opensmile_hammarbergIndexUV_sma3nz_amean,频谱斜率相关指标 / opensmile_slopeUV0-500_sma3nz_amean,频谱斜率相关指标 / opensmile_slopeUV500-1500_sma3nz_amean,频谱通量相关指标 / opensmile_spectralFluxUV_sma3nz_amean,响度相关指标 / opensmile_loudnessPeaksPerSec,浊音或发声相关指标 / opensmile_VoicedSegmentsPerSec,浊音或发声相关指标 / opensmile_MeanVoicedSegmentLengthSec,浊音或发声相关指标 / opensmile_StddevVoicedSegmentLengthSec,浊音或发声相关指标 / opensmile_MeanUnvoicedSegmentLength,浊音或发声相关指标 / opensmile_StddevUnvoicedSegmentLength,opensmile_equivalentSoundLevel_dBp / opensmile_equivalentSoundLevel_dBp
20230829逄JJ积极情绪事件访谈,input_audio/20230829逄JJ积极情绪事件访谈.wav,output/work_wav/20230829逄JJ积极情绪事件访谈.wav,ok,30.822490692138672,0.16259291768074036,29.5880126953125,32.07917785644531,34.71308898925781,5.1250762939453125,352.944580078125,401.7650146484375,158.86080932617188,299.2618103027344,0.22687171399593353,0.3373619616031647,0.15613509714603424,0.2097833752632141,0.2908000946044922,0.13466499745845795,1.5118824243545532,0.9695256948471069,1.2220673561096191,0.7222598791122437,0.16321620345115662,0.37695595622062683,30.290395736694336,0.2644707262516022,12.084528923034668,0.5117935538291931,12.534952163696289,0.7231214046478271,-1.737044334411621,-5.815442085266113,0.03317580744624138,2.2551913261413574,1.2735908031463623,0.46694815158843994,4.431384086608887,0.4864494502544403,8.628573417663574,1.2664909362792969,36.17711639404297,0.17385780811309814,578.23681640625,0.27500423789024353,1374.3560791015625,0.14409683644771576,-175.2761688232422,-0.35884779691696167,1651.2142333984375,0.14580026268959045,1219.97119140625,0.2731053829193115,-177.25393676757812,-0.32195690274238586,2801.653076171875,0.07654567062854767,1037.5040283203125,0.3710322082042694,-178.61434936523438,-0.30046936869621277,-21.813032150268555,-0.2414962351322174,34.94738006591797,0.12485580891370773,-0.014462561346590519,-1.2972074747085571,-0.02377227135002613,-0.4176367223262787,0.1746169775724411,0.33990269899368286,38.43336868286133,0.0934336706995964,12.045063018798828,0.6559616327285767,5.998603343963623,1.9331974983215332,-9.637049674987793,-0.8832829594612122,-22.13534927368164,33.59438705444336,-0.03524734079837799,-0.012036792933940887,0.16148164868354797,2.586512327194214,1.51264488697052,0.078125,0.06777432560920715,0.5715872645378113,0.7108617424964905,-34.2405891418457
230904刘消极图片s,input_audio/230904刘消极图片s.MP3,output/work_wav/230904刘消极图片s.wav,ok,27.179475784301758,0.24055270850658417,20.55948257446289,29.919240951538086,33.591461181640625,13.031978607177734,646.351806640625,547.781494140625,209.6723175048828,394.5036926269531,0.175885409116745,0.21538928151130676,0.14306102693080902,0.16533614695072174,0.20840488374233246,0.06534385681152344,0.8204405307769775,0.49706050753593445,0.4858315587043762,0.3631904721260071,0.14134861528873444,0.4246663451194763,30.179931640625,0.15607787668704987,14.0227689743042,0.29870936274528503,14.279290199279785,0.48356741666793823,-0.3952680826187134,-17.835163116455078,0.050172269344329834,1.7260794639587402,1.5079394578933716,0.5507813692092896,3.195110559463501,0.6130767464637756,7.946472644805908,2.9097254276275635,31.663311004638672,0.5455977916717529,521.3461303710938,0.2835654020309448,1361.3587646484375,0.18513570725917816,-186.28077697753906,-0.26390597224235535,1608.2105712890625,0.13161210715770721,1233.7646484375,0.26754653453826904,-187.89828491210938,-0.23004306852817535,2724.029541015625,0.06705831736326218,1020.0737915039062,0.3158370554447174,-188.48814392089844,-0.21872971951961517,-24.30144691467285,-0.16074024140834808,35.62159729003906,0.10369515419006348,-0.017210830003023148,-0.8347133994102478,-0.020534202456474304,-0.47324517369270325,0.13063980638980865,0.32566365599632263,36.50698471069336,0.08245781809091568,15.177367210388184,0.3333103358745575,10.077834129333496,0.9741421341896057,-7.330443382263184,-1.135594129562378,-24.306623458862305,35.759002685546875,-0.03740716353058815,-0.009737846441566944,0.14222443103790283,2.139037609100342,1.01694917678833,0.0629824548959732,0.039066512137651443,0.9158928394317627,0.9216982126235962,-35.677127838134766
