file_id,original_path,wav_path,status,duration_sec,pause_count,total_pause_duration_sec,phonation_time_sec,pause_ratio,librosa_rms_mean,librosa_rms_std,librosa_rms_min,librosa_rms_max,estimated_syllable_count,estimated_speech_rate_syll_per_sec,estimated_articulation_rate_syll_per_sec,average_syllable_duration_sec,librosa_mfcc1_mean,librosa_mfcc1_std,librosa_mfcc1_min,librosa_mfcc1_max,librosa_mfcc2_mean,librosa_mfcc2_std,librosa_mfcc2_min,librosa_mfcc2_max,librosa_mfcc3_mean,librosa_mfcc3_std,librosa_mfcc3_min,librosa_mfcc3_max,librosa_mfcc4_mean,librosa_mfcc4_std,librosa_mfcc4_min,librosa_mfcc4_max,librosa_mfcc5_mean,librosa_mfcc5_std,librosa_mfcc5_min,librosa_mfcc5_max,librosa_mfcc6_mean,librosa_mfcc6_std,librosa_mfcc6_min,librosa_mfcc6_max,librosa_mfcc7_mean,librosa_mfcc7_std,librosa_mfcc7_min,librosa_mfcc7_max,librosa_mfcc8_mean,librosa_mfcc8_std,librosa_mfcc8_min,librosa_mfcc8_max,librosa_mfcc9_mean,librosa_mfcc9_std,librosa_mfcc9_min,librosa_mfcc9_max,librosa_mfcc10_mean,librosa_mfcc10_std,librosa_mfcc10_min,librosa_mfcc10_max,librosa_mfcc11_mean,librosa_mfcc11_std,librosa_mfcc11_min,librosa_mfcc11_max,librosa_mfcc12_mean,librosa_mfcc12_std,librosa_mfcc12_min,librosa_mfcc12_max,librosa_mfcc13_mean,librosa_mfcc13_std,librosa_mfcc13_min,librosa_mfcc13_max,scipy_psd_mean,scipy_psd_std,scipy_psd_min,scipy_psd_max,scipy_bandpower_0_250_hz,scipy_bandpower_250_500_hz,scipy_bandpower_500_1000_hz,scipy_bandpower_1000_2000_hz,scipy_bandpower_2000_4000_hz,scipy_bandpower_4000_8000_hz,lpcc1,lpcc2,lpcc3,lpcc4,lpcc5,lpcc6,lpcc7,lpcc8,lpcc9,lpcc10,lpcc11,lpcc12,lpcc13
文件编号 / file_id,原始音频路径 / original_path,标准化WAV路径 / wav_path,处理状态 / status,音频总时长_秒 / duration_sec,停顿次数 / pause_count,停顿相关指标 / total_pause_duration_sec,phonation_time_sec / phonation_time_sec,停顿时间占总时长比例 / pause_ratio,能量或音量相关指标 / librosa_rms_mean,能量或音量相关指标 / librosa_rms_std,能量或音量相关指标 / librosa_rms_min,能量或音量相关指标 / librosa_rms_max,估计音节数 / estimated_syllable_count,语音或语速相关指标 / estimated_speech_rate_syll_per_sec,estimated_articulation_rate_syll_per_sec / estimated_articulation_rate_syll_per_sec,时长相关指标 / average_syllable_duration_sec,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc1_mean,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc1_std,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc1_min,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc1_max,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc2_mean,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc2_std,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc2_min,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc2_max,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc3_mean,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc3_std,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc3_min,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc3_max,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc4_mean,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc4_std,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc4_min,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc4_max,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc5_mean,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc5_std,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc5_min,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc5_max,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc6_mean,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc6_std,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc6_min,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc6_max,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc7_mean,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc7_std,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc7_min,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc7_max,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc8_mean,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc8_std,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc8_min,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc8_max,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc9_mean,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc9_std,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc9_min,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc9_max,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc10_mean,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc10_std,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc10_min,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc10_max,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc11_mean,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc11_std,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc11_min,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc11_max,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc12_mean,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc12_std,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc12_min,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc12_max,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc13_mean,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc13_std,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc13_min,梅尔频率倒谱系数MFCC相关指标 / librosa_mfcc13_max,scipy_psd_mean / scipy_psd_mean,scipy_psd_std / scipy_psd_std,scipy_psd_min / scipy_psd_min,scipy_psd_max / scipy_psd_max,scipy_bandpower_0_250_hz / scipy_bandpower_0_250_hz,scipy_bandpower_250_500_hz / scipy_bandpower_250_500_hz,scipy_bandpower_500_1000_hz / scipy_bandpower_500_1000_hz,scipy_bandpower_1000_2000_hz / scipy_bandpower_1000_2000_hz,scipy_bandpower_2000_4000_hz / scipy_bandpower_2000_4000_hz,scipy_bandpower_4000_8000_hz / scipy_bandpower_4000_8000_hz,lpcc1 / lpcc1,lpcc2 / lpcc2,lpcc3 / lpcc3,lpcc4 / lpcc4,lpcc5 / lpcc5,lpcc6 / lpcc6,lpcc7 / lpcc7,lpcc8 / lpcc8,lpcc9 / lpcc9,lpcc10 / lpcc10,lpcc11 / lpcc11,lpcc12 / lpcc12,lpcc13 / lpcc13
20230829逄JJ积极情绪事件访谈,input_audio/20230829逄JJ积极情绪事件访谈.wav,output/work_wav/20230829逄JJ积极情绪事件访谈.wav,ok,84.6831875,0.0,0.0,84.6831875,0.0,0.018591295363058515,0.005551821909295436,0.007118092849850655,0.05032133311033249,226.0,2.6687705868416916,2.6687705868416916,0.3747043694690266,-359.79569354199623,31.694031850892216,-451.0702819824219,-234.19985961914062,135.70240009943404,26.93171428786223,16.243234634399414,209.72103881835938,23.095027878570882,13.847549483979803,-39.348594665527344,77.00869750976562,31.57126816303315,13.371047428042809,-24.83953094482422,62.55911636352539,1.722956457127816,12.10982350464912,-43.949405670166016,58.897483825683594,8.368095410362162,8.811480421371066,-25.371326446533203,36.44436264038086,4.688816418065568,8.716211280878117,-27.178524017333984,28.787893295288086,4.888549017112999,7.444317418253943,-20.044265747070312,31.834598541259766,5.639100544236271,6.467496048458477,-18.047725677490234,29.167394638061523,5.40267136568027,6.230427544559885,-22.21197509765625,25.791805267333984,-2.4234406636316437,5.314012465572904,-22.219093322753906,15.559819221496582,3.693469255005791,4.550133267103055,-12.599212646484375,18.905256271362305,1.3370108488168881,4.611797559806842,-15.686344146728516,17.522281646728516,4.886630543525015e-08,3.345445585376892e-07,2.042224028775408e-11,6.418862994905794e-06,0.00025366092515355376,7.994495998531193e-05,3.5281667844222486e-05,4.679744994295909e-06,9.68166539235156e-07,5.050359627029044e-07,1.4382520512012806,0.8361639469163009,0.4125796280402205,0.19917876443978477,0.2991959257769232,0.06202844372707811,0.1432352027587795,0.08474958871396673,0.1573149449442084,-0.013603566199026501,0.08088569112653758,-0.04888511238854566,-0.08407163063617215
230904刘消极图片s,input_audio/230904刘消极图片s.MP3,output/work_wav/230904刘消极图片s.wav,ok,56.111,0.0,0.0,56.111,0.0,0.015740099050552757,0.004759334814314211,0.004695624113082886,0.06241421774029732,148.0,2.6376289854039316,2.6376289854039316,0.3791283783783784,-390.17407155227227,15.361857130974796,-553.64990234375,-346.3663024902344,135.2329911217858,13.21050175936306,80.08709716796875,175.5979766845703,26.24176661282812,8.13839089147874,-15.73238754272461,50.81201171875,34.05053233060489,9.446426849307688,-1.9084630012512207,68.1762924194336,3.515710973133043,6.738345863306511,-29.91200065612793,26.75684928894043,10.366231456679316,6.486529864543237,-19.615060806274414,32.722694396972656,6.765419006950839,6.446669928980429,-18.077529907226562,30.793346405029297,6.7245679689717806,5.373447801002538,-15.155344009399414,23.74272346496582,3.5742686076966903,4.804223737126831,-12.493006706237793,17.88959503173828,6.553085195081162,4.213274983134861,-10.390647888183594,19.452974319458008,-1.5024523206178348,4.2628275405406555,-16.63652801513672,12.191764831542969,0.8434432184168625,3.804219239991063,-11.41717529296875,14.134217262268066,3.605789268228991,3.9056353278452876,-10.142210006713867,22.032752990722656,3.258927161236592e-08,2.7753743022173986e-07,1.0012228676345436e-12,5.414224688138347e-06,0.00019899412834201158,4.2572829789255806e-05,8.71726153414687e-06,7.354799243589061e-07,3.1511508604298993e-07,7.337528140286117e-08,1.7657605636282334,0.6134736631617975,0.5461992896192979,0.3345289061662763,0.37650142357415606,0.20074850792950466,0.24143385562482367,0.02236315382362325,0.05465481933693378,0.05951755260025321,0.04115434806710002,-0.012130563769346112,0.05688625369190631
